,CrunchBase Ranking,Company Name/Organisation Name,Acquired by,About,Location,Number of Employees,Industry,IPO Status,Website,Founded Date,Headquarters,Founders,Operating Status,Hub Tags,Last Funding Type,Company Type,Investor Type,Investment Stage,Number of Investors,Number Funding Rounds,Total Funding Amount,Number of exits,Number of Lead Investors,Number of Acquisitions,Number of Current Team Members (core team),Number of Board Members/Advisors,Total Products Active,Product Downloads in the Last 30 Days,Active Tech Count,Monthly Visits,Monthly Visits Growth,Number of Articles,Number of Events,Number of Funds,Number of Investments,Number of Diversity Investments,Number of Exits,Related Hubs,Stock Symbol,IPO Date,Number of Sub,Organisations,Funding Rounds,Funds Raised (for VC),Number of Lead Investments
10,210,good-eggs,NA,"['Good Eggs is an online grocer and meal kit delivery service with a mission to reinvent the food system, for good.', 'Area, Good Eggs is the simplest way to feed your family well all week long.\nOver the past two years, Good Eggs has added over 1,000 items across categories to its marketplace and expanded its delivery footprint throughout SF, East Bay, Marin, and the South Bay and Peninsula. As the company has grown, they remain steadfast in their mission. Over 70% of Good Eggs’ assortment is local, and every item carried must meet a strict list of sourcing standards. In addition to good food, the company provides good jobs. Every operations team member is benefited, carries equity, and is paid 20 to 50% above the industry average.']","San Francisco, California, United States",251-500,"['Delivery', 'E-Commerce', 'Fast-Moving Consumer Goods', 'Grocery', 'Logistics']",Private,www.goodeggs.com,"['Jul 1, 2011']","['San Francisco Bay Area, West Coast, Western US']","['Alon Salant, Rob Spiro']",['Active'],NA,['Series D'],['For Profit'],NA,NA,23,8,$165M,NA,7,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,211,myheritage,NA,"['MyHeritage is a destination to discover, preserve, and share family history.', 'about your family history — effortlessly.\nThe company was founded in 2003 by our CEO – entrepreneur and family historian Gilad Japhet. From a humble garage startup, MyHeritage has grown into a global company with 90 million users across 196 countries.\nOur 370 employees work out of bright, spacious offices in Israel, North America, and Europe to deliver an exceptional user experience in 42 languages. Guided by our core values of innovation, compassion and diversity, our team undertakes many voluntary community initiatives, using our expertise and technology to reunite families. We are delighted to go the extra mile for our users, offering 24/7 support and striving to create a true sense of community in the world of family history.\nIn October 2013 MyHeritage was named the most promising Israeli start-up for 2013-14 by ""Globes"" magazine.']","Or Yehuda, Tel Aviv, Israel",251-500,"['Apps', 'Family', 'Internet', 'Social Media']",Private,www.myheritage.com,['2003'],NA,['Gilad Japhet'],['Active'],NA,['Series E'],['For Profit'],NA,NA,12,NA,$49M,NA,NA,6,18,NA,42,"118,146",125,"15,493,050",4.42%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,212,vimeo,NA,"['Vimeo is the world’s leading all-in-one video software solution. We enable professional-quality video for all.', 'Vimeo is the world’s leading all-in-one video software solution. Our platform enables any professional, team, and organization to unlock the power of video to create, collaborate and communicate. We proudly serve our growing community of over 200 million users — from creatives to entrepreneurs to the world’s largest companies.']","New York, New York, United States",501-1000,"['File Sharing', 'Video', 'Video Streaming']",Private,vimeo.com/,['2004'],"['Greater New York Area, East Coast, Northeastern US']","['Jake Lodwick, Zach Klein']",['Active'],NA,['Private Equity'],['For Profit'],NA,NA,4,2,$450M,NA,4,5,17,NA,67,"544,141",103,"102,621,212",2.20%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,213,emocha,NA,"['emocha empowers every patient to take every dose with video technology and scalable human engagement.', 'public health departments, clinical trials, hospitals, health centers, and managed care organizations to radically improve medication adherence for patients with tuberculosis, opioid use disorder, hepatitis C, diabetes, and other chronic and infectious diseases.\nemocha is available in more than 20 languages, works offline, and is asynchronous. emocha provides customizable reports to the care team and provider that provide a summary of adherence and other unique insights gleaned from daily video submissions. An NIH-funded study conducted by Johns Hopkins found that emocha helped patients achieve an average of 94 percent medication adherence.']","Baltimore, Maryland, United States",Nov-50,"['Clinical Trials', 'Diabetes', 'Health Care', 'Information Technology', 'Medical', 'mHealth', 'Mobile', 'Software']",Private,www.emocha.com,['2014'],"['Greater Baltimore-Maryland Area, East Coast, Southern US']","['Jeffrey Daley, Morad Elmi, Sebastian Seiguer, Sharon Kong']",['Active'],NA,['Grant'],['For Profit'],NA,NA,12,6,$8.8M,NA,3,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,214,razorpay,NA,"['Razorpay is a platform that enables businesses to accept, process, and disburse payments.', 'Razorpay is a platform that enables businesses to accept, process, and disburse payments with its product suite. It gives access to all payment modes including credit card, debit card, net banking, UPI and popular wallets including JioMoney, Mobikwik, Airtel Money, FreeCharge, Ola Money, and PayZapp.\nThe company was founded in 2014 and is', 'headquartered in Bangalore, Karnataka.']","Bangalore, Karnataka, India",501-1000,"['Financial Services', 'FinTech', 'Payments', 'Software']",Private,razorpay.com/,['Dec 2014'],['Asia-Pacific (APAC)'],"['Harshil Mathur, Shashank Kumar']",['Active'],NA,['Series D'],['For Profit'],NA,NA,30,6,$206.6M,NA,5,2,13,NA,45,"13,621",50,"7,114,311",-1.64%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,215,blackberry,NA,"['BlackBerry provides wireless devices and solutions for the worldwide mobile communications market.', 'BlackBerry provides wireless devices and solutions for the worldwide mobile communications market. It is widely known for the development of the Blackberry smartphone.\nIt offers the BlackBerry wireless communications platform solution, which includes the commpression and security infrastructure services enabling BlackBerry hand-held wireless', 'devices to send and receive wireless messages and data. It is engaged in the sale of BlackBerry hand-held devices and the provision of data communication.\nIts portfolio of products and solutions includes the BlackBerry wireless solution, the BlackBerry Wireless Hand-held product line, the BlackBerry PlayBook tablet, software development tools, and other software and hardware. It also provides QNX software for embedded systems market and BBM, which is known as an instant mobile to mobile private messaging service. BlackBerry also carries expertise in allowing third party commercial and enterprise software developers to build and deploy custom applications to run on BlackBerry smartphones. In addition, it provides its users with the BlackBerry Messenger Social Apps Platform, push, payments, advertising, location, maps, analytics, and Scoreloop services as well as repair and maintenance services.\nBlackBerry is engaged in the sales of its solutions through wireless communication carriers and third party distribution channels.']","Waterloo, Ontario, Canada",10001+,"['Embedded Systems', 'Hardware', 'Mobile', 'Telecommunications']",Public,www.blackberry.com/en,"['Jan 1, 1984']",['Great Lakes'],"['Douglas Fregin, Mike Lazaridis']",['Active'],NA,['Post-IPO Equity'],['For Profit'],NA,NA,1,1,$1B,4,NA,29,29,NA,92,NA,17,"2,009,134",10.56%,NA,NA,NA,9,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
16,216,xendit,NA,"['Xendit is a fintech company that provides end-to-end digital payment solutions for SMBs and e-commerce startups to large enterprises.', 'Xendit is a fintech company that provides end-to-end digital payment solutions for SMBs and e-commerce startups to large enterprises.\nThe end-to-end solution allows modern businesses to accept payments through cards and bank transfers, manage funds through escrow/custodian accounts and disburse funds through the fastest pipes in the markets', 'they serve. It also enables businesses to accept payments from direct debit, virtual accounts, credit and debit cards, eWallets, retail outlets, and online installments.\nThe Jakarta, Jakarta Raya-based fintech company was established in 2014 by Tessa Wijaya, Moses Lo, Juan Gonzalez, and Bo Chen.']","Jakarta, Jakarta Raya, Indonesia",251-500,"['Banking', 'Finance', 'Financial Services', 'FinTech', 'Payments']",Private,www.xendit.co,['2014'],"['Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia']","['Bo Chen, Juan Gonzalez, Moses Lo, Tessa Wijaya']",['Active'],NA,['Series B'],['For Profit'],NA,NA,6,4,$64.7M,NA,2,NA,8,NA,29,NA,104,"314,924",-27.68%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,217,t-rowe-price,NA,"['T. Rowe Price is an investment management firm dedicated to funding technology startups.', 'T. Rowe Price is an investment management firm dedicated to funding technology startups.\nThe company serves individuals, financial intermediaries, and institutions and offers a full range of investment strategies across a broad spectrum: debt, equities, and private equities.\nRowe Price was founded in 1937 by Thomas Rowe Price Jr. in Baltimore,', 'Maryland.']","Baltimore, Maryland, United States",5001-10000,"['Business Development', 'Finance', 'Financial Services']",NA,www.troweprice.com,"['Apr 1, 1937']","['Greater Baltimore-Maryland Area, East Coast, Southern US']",['Thomas Price Jr.'],['Active'],NA,NA,['For Profit'],NA,NA,NA,NA,NA,75,NA,NA,NA,NA,30,"15,993",60,"5,234,438",-4.07%,NA,NA,NA,225,29,75,NA,['NASDAQ:TROW'],NA,NA,NA,NA,NA,NA
18,218,immunai,NA,"['Immunai is a biotech company that combines single cell genomics with ML algorithms to enable high resolution profiling of the immune system.', ""Immunai is a biotech company that combines single-cell genomics with ML algorithms to enable high-resolution profiling of the immune system.\nImmunai's mission is to map the entire immune system and its functions using single-cell genomics and machine learning. Immunai leverages single-cell technologies to profile cells from a blood sample,"", 'and uses machine-learning algorithms (powered by its proprietary database) to map the hundreds of cell types and their states to create an immune profile. They work on biomarker discovery and insights that identify how a cell responds to its changing environment.\nThe company is located in New York City, San Francisco, and Tel Aviv, Israel.']","New York, New York, United States",51-100,"['Artificial Intelligence', 'Biotechnology', 'Machine Learning', 'Therapeutics']",Private,www.immunai.com/,['Dec 2018'],"['Greater New York Area, East Coast, Northeastern US']","['Ansuman Satpathy, Dan Littman, Daniel Wells, Luis F Voloch, Noam Solomon']",['Active'],NA,['Series A'],['For Profit'],NA,NA,6,2,$80M,NA,6,NA,5,NA,NA,NA,27,"3,413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,219,seedrs,NA,"['Seedrs is a UK-based investment and crowdfunding platform.', 'Seedrs is the leading online platform for investing in the equity of startups and other growth companies in Europe and has been named the most active investor in private companies in the UK.\nSeedr allows all types of investors invest in businesses they believe in and share in their success and allow all types of growth-focused businesses raise', 'capital and business community in the process.\nThe company do all of this through a simple, highly professional, online process that protects and empowers investors while helping businesses grow and generate returns']","London, England, United Kingdom",51-100,"['Crowdfunding', 'Finance', 'Financial Services', 'Funding Platform', 'Venture Capital']",Private,www.seedrs.com,['2009'],NA,"['Carlos Silva, Jeff Lynn']",['Active'],NA,['Equity Crowdfunding'],['For Profit'],NA,NA,6,10,£28.2M,8,2,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,273,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
20,220,spotify,NA,"['Spotify is a commercial music streaming service that provides restricted digital content from a range of record labels and artists.', 'Spotify is a commercial music streaming service that provides restricted digital content from a range of record labels and artists. Users can browse through the interface by artist, album, genre, playlist, record label, and direct searches.\nIt also enables individuals to create, share, and edit playlists with other users. If users want', 'recommendations, they can integrate their system with Last.fm, an application that provides music recommendations based on listening history. The radio feature installed in Spotify creates random playlists for its users that are related to preferred artists.\nSpotify is available for mobile device platforms such as Android, Blackberry, Boxee, iOS, Linux, MeeGo, Squeezebox, Windows mobile, and more.']","Stockholm, Stockholms Lan, Sweden",1001-5000,"['Cloud Computing', 'Music', 'Music Streaming', 'Video Streaming']",Public,www.spotify.com,"['Jul 14, 2006']","['European Union (EU), Nordic Countries, Scandinavia']","['Daniel Ek, Dilshan Randeer Ilangasinghe, Martin Lorentzon']",['Active'],NA,['Corporate Round'],['For Profit'],NA,NA,NA,21,$2.6B,1,NA,19,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
21,221,terminus-software,NA,"['Terminus is a marketing platform used to target companies, engage decision-makers on their terms, and accelerate pipeline velocity.', 'scale and increase close rates; and is used by brands including Dun & Bradstreet, SalesLoft, and Influitive. Backed by notable investors in the B2B marketing space, Terminus is headquartered in the Terminus 100 building in Atlanta.']","Atlanta, Georgia, United States",101-250,"['Advertising Platforms', 'B2B', 'Digital Marketing', 'Marketing Automation']",Private,terminus.com,['2014'],"['Greater Atlanta Area, East Coast, Southern US']","['Eric Spett, Eric Vass, Sangram Vajre']",['Active'],NA,['Series C'],['For Profit'],NA,NA,14,5,$120.6M,NA,3,4,15,NA,61,NA,59,"69,663",15.63%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,222,ncr,NA,"['NCR develops consumer transaction technologies for the retail, financial, travel, hospitality, telecom, and technology industries.', 'automated teller machines (ATMs).\nThe Company operates in fits segments: Financial Services, Retail Solutions, Entertainment, and Emerging Industries. On August 24, 2011, NCR completed the acquisition of Radiant Systems Inc. (Radiant), a provider of multichannel point-of-sale and managed hosted service solutions to the hospitality and specialty retail industries. On December 23, 2011, it sold its healthcare solutions business, including its MediKiosk patient access software, NCR Payment Manager, Patient Portal, Patient Tracking, Physician Referral, and eForms software solutions, to Quadramed Corporation.\nNCR was founded in 1884 and is headquartered in Atlanta, GA, USA.']","Atlanta, Georgia, United States",10001+,"['Finance', 'FinTech', 'Hospitality', 'Information Technology', 'Payments', 'Software']",Public,www.ncr.com,['1884'],"['Greater Atlanta Area, East Coast, Southern US']",NA,['Active'],NA,['Post-IPO Equity'],['For Profit'],NA,NA,NA,1,$820M,1,NA,29,24,NA,51,"2,681",84,"864,512",-4.78%,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
23,223,visage-payroll,NA,"['Gig Wage is a fintech payroll company for gig workers and contractors.', 'efficiently manage the process while alleviating payments related support.\nGig Wage provides an online platform that allows independent contractors to track the amount and type of work they perform for companies, initiate invoices, and receive payments from companies. The partnership also allows Gig Wage the ability to introduce a new debit card with no monthly fee, free online bill pay, and free cash withdrawals at more than 19,000 ATM locations, free cash pick-up at over 7,000 retail locations nationwide, and other products and tools designed for gig workers and their employers. By leveraging Green Dot’s Banking as a Service platform, Gig Wage can now design and deploy its own customized banking and money movement solutions for its customers.\nGig Wage is founded in 2014 and is headquartered in Dallas, Texas, USA.']","Dallas, Texas, United States",Nov-50,"['Employee Benefits', 'Financial Services', 'FinTech', 'Human Resources', 'Payments']",Private,gigwage.com,"['Jun 2, 2014']","['Dallas/Fort Worth Metroplex, Southern US']",['Craig Jamal Lewis'],['Active'],NA,['Series A'],['For Profit'],NA,NA,11,6,$13.2M,NA,5,NA,2,NA,17,NA,11,"10,257",-23.94%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,224,orange,NA,"['Orange is a digital operator that offers mobile and internet services in Europe and Africa, and corporate telecommunication services.', 'Orange is a digital operator that offers mobile and internet services in Europe and Africa, and corporate telecommunication services worldwide. The group operates under the brand name Orange Business Services (OBS), both in France and internationally, in the business communication and IT services markets.\nOrange Business Services offers a range of', 'services to large corporates, local authorities, and SMEs in France, as well as to multinationals around the world, supporting the implementation of their communication projects. To do so, OBS offers a full range of voice and data, IT, and integrated services.\nThe Orange Fabs is an international network of startup drivers that provides startups in the digital space with advice, training, and events, as well as resources and expertise.\nOrange was founded in 1991 and is headquartered in Paris, France with presence in 30 countries.']","Paris, Ile-de-France, France",10001+,NA,Public,www.orange.com,"['Jan 1, 1991']",['European Union (EU)'],['Laetitia Gazel Anthoine'],['Active'],NA,['Post-IPO Debt'],['For Profit'],NA,NA,1,1,€700M,4,1,21,114,NA,56,"849,213",128,"1,144,924",7.54%,NA,NA,NA,16,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
25,225,nianticlabs,NA,"['Niantic builds augmented reality platform for current and future generations of AR hardware.', ""Company, and Alsop Louie Partners. We’re focused on building games that get people outside and exploring by enabling our players to have fun while visiting new places, learning about the world around them, and meeting new friends. We’ve launched Ingress, an immersive real-world mobile game played by millions of people; it's been downloaded more than 20 million times and is played in over 200 countries and territories worldwide. We've also developed Pokémon GO, which has broken records around the world and has been downloaded more than 750 million times in its first year.""]","San Francisco, California, United States",101-250,"['Augmented Reality', 'Internet', 'Software', 'Video Games', 'Virtual Reality']",Private,www.nianticlabs.com/,['2010'],"['San Francisco Bay Area, West Coast, Western US']","['John Hanke, Phil Keslin']",['Active'],NA,['Series C'],['For Profit'],NA,NA,20,4,$470M,NA,3,7,21,NA,12,"5,571,532",48,"7,471,248",-5.62%,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,226,realtimeboard,NA,"['Miro is an online collaborative whiteboard platform that enables distributed teams to work better together.', 'Miro offers a collaborative whiteboard platform that is designed to allow distributed teams to work effectively together. Support includes running brainstorming sessions and workshops to planning projects and designing new products and services.\nMiro has over 7 million users and 20,000 paying customers, including 80% of the Fortune 100. Miro', 'provides seamless integrations with applications like Atlassian JIRA and Confluence, Sketch, Slack, Trello, Box, and Google Drive to support existing workflows of their customers.\nMiro brings the benefits of a collaborative whiteboard session to everyone in a global company regardless of their location with a secure and scalable solution. The service is available either in a browser or via desktop, Android or iOS app. It can also be used on tablets and interactive whiteboards.']","San Francisco, California, United States",251-500,"['B2B', 'Enterprise', 'Enterprise Applications', 'Enterprise Software', 'Product Design', 'Product Management', 'Project Management', 'SaaS', 'Software', 'UX Design']",Private,miro.com,"['Jun 1, 2011']","['San Francisco Bay Area, West Coast, Western US']","['Andrey Khusid, Oleg Shardin']",['Active'],NA,['Series B'],['For Profit'],NA,NA,6,3,$76.3M,NA,2,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
